OBJIDstr,AIN,NumPrefix,Number,NumSuffix,PreMod,PreDir,PreType,StArticle,StreetName,PostType,PostDir,PostMod,BldgID,BldgSource,BldgTypePl,BldgType,BldgName,FlrTypePl,FlrType,FlrName,UnitType,UnitName,ZipCode,Zip4,LegalComm,PostComm1,PostComm2,PostComm3,OtherComm1,OtherComm2,Source,SourceID,MADRank,AROIDstr,OIDstr,PropType,ObjID,PreDirAbbr,PostDirAbbr,PreTypeAbbr,PostTypeAbbr,FullName,UpdateDate,FullAddress,UniqueID,StName_EnerGov,FullAddress_EnerGov,MSAG_City,ESN,geometry_wkt,_matched_from_input_file,_source_file
,,,5308.0,,,West,,,Fairview,Boulevard,,,,,,,,,,,,,90056,,Unincorporated,Los Angeles,Baldwin Hills,,,,LACO DPW House Numbering Map,{3A6CE455-A66A-48A0-BCE3-93566D93EEB8},0.0,,3A6CE455-A66A-48A0-BCE3-93566D93EEB8,Unknown,,W,,,Blvd,W Fairview Blvd,2015-09-17 23:24:33+00:00,5308 W Fairview Blvd Los Angeles 90056,3A6CE455-A66A-48A0-BCE3-93566D93EEB8_5308_W_Fairview_Blvd_Los_Angeles_90056,Fairview,5308 W Fairview Boulevard Blvd Los Angeles 90056,,,POINT (6448860.292776 1815198.986677),Complete_But_Phantom_addresses_representative_[validatedResult]_6552rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,600.0,,,,,,Deep Valley,Drive,,,,,,,,,,,,,90274,,Rolling Hills Estates,Palos Verdes Peninsula,Palos Verdes Estates,,,,Office of Assessor,{6327818E-3518-4804-B93E-4B9FA8945622},0.0,,6327818E-3518-4804-B93E-4B9FA8945622,Unknown,,,,,Dr,Deep Valley Dr,2018-11-16 09:21:04+00:00,600 Deep Valley Dr Palos Verdes Peninsula 90274,6327818E-3518-4804-B93E-4B9FA8945622_600_Deep_Valley_Dr_Palos_Verdes_Peninsula_90274,Deep Valley,600 Deep Valley Drive Dr Rolling Hills Estates 90274,,,POINT (6448545.807512 1739339.384131),Complete_But_Phantom_addresses_representative_[validatedResult]_6552rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,26603.0,,,,Via,,Bellazza,,,,,,,,,,,,,,91381,,Unincorporated,Stevenson Ranch,Valencia,,,,LACO DPW Add,{8FDDA1C1-BEB3-4DFB-8F66-FF6650C9C929},0.0,,8FDDA1C1-BEB3-4DFB-8F66-FF6650C9C929,Unknown,,,,Via,,Via Bellazza,2019-09-30 13:08:48+00:00,26603 Via Bellazza Stevenson Ranch 91381,8FDDA1C1-BEB3-4DFB-8F66-FF6650C9C929_26603_Via_Bellazza_Stevenson_Ranch_91381,Via Bellazza,26603 Via Bellazza Stevenson Ranch 91381,,,POINT (6385356.910925 1970072.996154),Complete_But_Phantom_addresses_representative_[validatedResult]_6552rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,5314.0,,,,,,Drybank,Drive,,,,,,,,,,,,,90274,,Rolling Hills Estates,Palos Verdes Peninsula,Palos Verdes Estates,,,,Office of Assessor,{A6D1044D-B758-43F1-A4DB-2E4D2EF39FB6},0.0,,A6D1044D-B758-43F1-A4DB-2E4D2EF39FB6,Unknown,,,,,Dr,Drybank Dr,2018-11-16 09:21:04+00:00,5314 Drybank Dr Palos Verdes Peninsula 90274,A6D1044D-B758-43F1-A4DB-2E4D2EF39FB6_5314_Drybank_Dr_Palos_Verdes_Peninsula_90274,Drybank,5314 Drybank Drive Dr Rolling Hills Estates 90274,,,POINT (6448594.41962 1739499.972721),Complete_But_Phantom_addresses_representative_[validatedResult]_6552rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,5324.0,1/4,,West,,,Fairview,Boulevard,,,,,,,,,,,,,90056,,Unincorporated,Los Angeles,Baldwin Hills,,,,LACO DPW House Numbering Map,{43941EED-2EEC-4F2C-B41B-4C4B77A8C376},0.0,,43941EED-2EEC-4F2C-B41B-4C4B77A8C376,Unknown,,W,,,Blvd,W Fairview Blvd,2015-09-17 23:26:39+00:00,5324 1/4 W Fairview Blvd Los Angeles 90056,43941EED-2EEC-4F2C-B41B-4C4B77A8C376_5324_1/4_W_Fairview_Blvd_Los_Angeles_90056,Fairview,5324 1/4 W Fairview Boulevard Blvd Los Angeles 90056,,,POINT (6448695.422699 1815154.063538),Complete_But_Phantom_addresses_representative_[validatedResult]_6552rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,0.0,,,,,,Vac/Vic Ave W8/Hubbard,Road,,,,,,,,,,,,,93510,,Unincorporated,Acton,,,,,LACO DPW House Numbering Map,{BBC311B2-CF03-431D-BAD3-D1BE64CE1962},0.0,,BBC311B2-CF03-431D-BAD3-D1BE64CE1962,Unknown,,,,,Rd,Vac/Vic Ave W8/Hubbard Rd,2015-05-01 18:21:58+00:00,Vac/Vic Ave W8/Hubbard Rd Acton 93510,BBC311B2-CF03-431D-BAD3-D1BE64CE1962__Vac/Vic_Ave_W8/Hubbard_Rd_Acton_93510,Vac/Vic Ave W8/Hubbard,Vac/Vic Ave W8/Hubbard Road Rd Acton 93510,,,POINT (6491681.319666 2000098.817992),Complete_But_Phantom_addresses_representative_[validatedResult]_6552rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,19453.0,,,South,,,Alameda,Street,,,,,,,,,,,,,90220,,Unincorporated,Compton,Rancho Dominguez,,,,LACO DPW Add,{8BACFBBB-F6F8-4A65-B561-F1FAF1B1B894},0.0,,8BACFBBB-F6F8-4A65-B561-F1FAF1B1B894,Unknown,,S,,,St,S Alameda St,2015-05-04 20:39:35+00:00,19453 S Alameda St Compton 90220,8BACFBBB-F6F8-4A65-B561-F1FAF1B1B894_19453_S_Alameda_St_Compton_90220,Alameda,19453 S Alameda Street St Compton 90220,,,POINT (6495428.381398 1769778.18513),Complete_But_Phantom_addresses_representative_[validatedResult]_6552rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,27207.0,,,,,,Sycamore Meadow,Drive,,,,,,,,,,,,,91381,,Unincorporated,Stevenson Ranch,Valencia,,,,LACO DPW Add,{DB54DD87-C4F5-421E-84CE-8C85142F31CC},0.0,,DB54DD87-C4F5-421E-84CE-8C85142F31CC,Unknown,,,,,Dr,Sycamore Meadow Dr,2015-05-04 20:49:09+00:00,27207 Sycamore Meadow Dr Stevenson Ranch 91381,DB54DD87-C4F5-421E-84CE-8C85142F31CC_27207_Sycamore_Meadow_Dr_Stevenson_Ranch_91381,Sycamore Meadow,27207 Sycamore Meadow Drive Dr Stevenson Ranch 91381,,,POINT (6386161.995929 1973379.406864),Complete_But_Phantom_addresses_representative_[validatedResult]_6552rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,3010.0,,,,,,Chaparral,Circle,,,,,,,,,,,,,90265,,Unincorporated,Malibu,,,,,LACO DPW Add,{92A73770-CE8B-4FF8-BB78-5A65A86BB83A},0.0,,92A73770-CE8B-4FF8-BB78-5A65A86BB83A,Unknown,,,,,Cir,Chaparral Cir,2015-09-09 07:10:51+00:00,3010 Chaparral Cir Malibu 90265,92A73770-CE8B-4FF8-BB78-5A65A86BB83A_3010_Chaparral_Cir_Malibu_90265,Chaparral,3010 Chaparral Circle Cir Malibu 90265,,,POINT (6344956.652158 1839702.920608),Complete_But_Phantom_addresses_representative_[validatedResult]_6552rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,16370.0,,,,,,Fragancia,Avenue,,,,,,,,,,,,,91745,,Unincorporated,Hacienda Heights,Industry,,,,LACO DPW House Numbering Map,{A10E7697-F931-418D-8722-597B6A8382FD},0.0,,A10E7697-F931-418D-8722-597B6A8382FD,Unknown,,,,,Ave,Fragancia Ave,2015-05-01 18:39:10+00:00,16370 Fragancia Ave Hacienda Heights 91745,A10E7697-F931-418D-8722-597B6A8382FD_16370_Fragancia_Ave_Hacienda_Heights_91745,Fragancia,16370 Fragancia Avenue Ave Hacienda Heights 91745,,,POINT (6575589.719435 1817763.300117),Complete_But_Phantom_addresses_representative_[validatedResult]_6552rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,2911.0,,,,Via,De,Casa,,,,,,,,,,,,,,90265,,Unincorporated,Malibu,,,,,LACO DPW Add,{1D6C8207-8807-4E2B-8BEE-F8A66CABAC2F},0.0,,1D6C8207-8807-4E2B-8BEE-F8A66CABAC2F,Unknown,,,,Via,,Via De Casa,2020-06-10 16:21:27+00:00,2911 Via De Casa Malibu 90265,1D6C8207-8807-4E2B-8BEE-F8A66CABAC2F_2911_Via_De_Casa_Malibu_90265,Via De Casa,2911 Via De Casa Malibu 90265,,,POINT (6344606.767359 1840074.217766),Complete_But_Phantom_addresses_representative_[validatedResult]_6552rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,10651.0,T,,,,,Saratoga,Street,,,,,,,,,,,,,90606,,Unincorporated,Whittier,,,,,CAMS,{5607A3B4-6390-4CA4-8E5C-5C376D03B8DF},0.0,,5607A3B4-6390-4CA4-8E5C-5C376D03B8DF,Unknown,,,,,St,Saratoga St,2015-05-07 22:28:42+00:00,10651 T Saratoga St Whittier 90606,5607A3B4-6390-4CA4-8E5C-5C376D03B8DF_10651_T_Saratoga_St_Whittier_90606,Saratoga,10651 T Saratoga Street St Whittier 90606,,,POINT (6538013.873983 1814805.847371),Complete_But_Phantom_addresses_representative_[validatedResult]_6552rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,1550.0,,,,,,Bishop,Avenue,,,,,,,,,,,,,90746,,Carson,Carson,,,,,Carson GIS,{28C42707-9FF7-45BA-97A5-CC92C8BC0EF8},0.0,,28C42707-9FF7-45BA-97A5-CC92C8BC0EF8,Unknown,,,,,Ave,Bishop Ave,2015-03-24 09:32:55+00:00,1550 Bishop Ave Carson 90746,28C42707-9FF7-45BA-97A5-CC92C8BC0EF8_1550_Bishop_Ave_Carson_90746,Bishop,1550 Bishop Avenue Ave Carson 90746,,,POINT (6488383.695356 1772672.296796),Complete_But_Phantom_addresses_representative_[validatedResult]_6552rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,2900.0,,,,,,Mariposa,Circle,,,,,,,,,,,,,90265,,Unincorporated,Malibu,,,,,LACO DPW Add,{5316ECB0-74EA-45C9-838B-D0DA0E542FC4},0.0,,5316ECB0-74EA-45C9-838B-D0DA0E542FC4,Unknown,,,,,Cir,Mariposa Cir,2020-09-03 11:46:21+00:00,2900 Mariposa Cir Malibu 90265,5316ECB0-74EA-45C9-838B-D0DA0E542FC4_2900_Mariposa_Cir_Malibu_90265,Mariposa,2900 Mariposa Circle Cir Malibu 90265,,,POINT (6344661.0704 1839968.816402),Complete_But_Phantom_addresses_representative_[validatedResult]_6552rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,22023.0,,,,,,Evonoa,Avenue,,,,,,,,,,,,,90810,,Carson,Long Beach,Carson,,,,Carson GIS,{B51A1DC3-EE2C-43EA-909A-0ED265DA7D8A},0.0,,B51A1DC3-EE2C-43EA-909A-0ED265DA7D8A,Unknown,,,,,Ave,Evonoa Ave,2015-03-24 09:32:55+00:00,22023 Evonoa Ave Long Beach 90810,B51A1DC3-EE2C-43EA-909A-0ED265DA7D8A_22023_Evonoa_Ave_Long_Beach_90810,Evonoa,22023 Evonoa Avenue Ave Carson 90810,,,POINT (6494629.554912 1759676.890372),Complete_But_Phantom_addresses_representative_[validatedResult]_6552rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,2977.0,,,,,,MARISPOSA,Circle,,,,,,,,,,,,,90265,,Unincorporated,Malibu,,,,,LACO DPW Add,{A5BC9A5E-5F06-446C-9F60-63712732AE3C},0.0,,A5BC9A5E-5F06-446C-9F60-63712732AE3C,Unknown,,,,,Cir,MARISPOSA Cir,2015-09-09 07:10:51+00:00,2977 MARISPOSA Cir Malibu 90265,A5BC9A5E-5F06-446C-9F60-63712732AE3C_2977_MARISPOSA_Cir_Malibu_90265,MARISPOSA,2977 MARISPOSA Circle Cir Malibu 90265,,,POINT (6344575.783497 1839624.991958),Complete_But_Phantom_addresses_representative_[validatedResult]_6552rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,27303.0,T,,,,,Adventure,Avenue,,,,,,,,,,,,,91381,,Unincorporated,Stevenson Ranch,Valencia,,,,LACO DPW Add,{88C716D0-CEAD-423B-B922-725249148E07},0.0,,88C716D0-CEAD-423B-B922-725249148E07,Unknown,,,,,Ave,Adventure Ave,2024-03-20 17:17:48+00:00,27303 T Adventure Ave Stevenson Ranch 91381,88C716D0-CEAD-423B-B922-725249148E07_27303_T_Adventure_Ave_Stevenson_Ranch_91381,Adventure,27303 T Adventure Avenue Ave Stevenson Ranch 91381,,,POINT (6377948.648838 1973535.845199),Complete_But_Phantom_addresses_representative_[validatedResult]_6552rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,1.0,,,,Via,,Granada,,,,,,,,,,,,,,90274,,Rolling Hills Estates,Palos Verdes Peninsula,Palos Verdes Estates,,,,Office of Assessor,{4D2EEC9A-67CF-43C9-B6E9-335F909ECDB8},0.0,,4D2EEC9A-67CF-43C9-B6E9-335F909ECDB8,Unknown,,,,Via,,Via Granada,2024-05-12 21:11:39+00:00,1 Via Granada Palos Verdes Peninsula 90274,4D2EEC9A-67CF-43C9-B6E9-335F909ECDB8_1_Via_Granada_Palos_Verdes_Peninsula_90274,Via Granada,1 Via Granada Rolling Hills Estates 90274,,,POINT (6445108.225477 1740558.836088),Complete_But_Phantom_addresses_representative_[validatedResult]_6552rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,25337.0,,,,,Los,Arqueros,Drive,,,,,,,,,,,,,91381,,Unincorporated,Stevenson Ranch,Valencia,,,,Office of Assessor,{8353BDD2-9221-461B-B446-5A18DE5C0BE1},0.0,,8353BDD2-9221-461B-B446-5A18DE5C0BE1,Unknown,,,,,Dr,Los Arqueros Dr,2024-05-12 21:11:39+00:00,25337 Los Arqueros Dr Stevenson Ranch 91381,8353BDD2-9221-461B-B446-5A18DE5C0BE1_25337_Los_Arqueros_Dr_Stevenson_Ranch_91381,Los Arqueros,25337 Los Arqueros Drive Dr Stevenson Ranch 91381,,,POINT (6385966.252554 1974318.918436),Complete_But_Phantom_addresses_representative_[validatedResult]_6552rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,29900.0,,,,,,Hawthorne,Boulevard,,,,,,,,,,,,,90274,,Rolling Hills Estates,Palos Verdes Peninsula,Palos Verdes Estates,,,,Office of Assessor,{F4B0DF54-36BD-475C-ABE7-C180E1899DAD},0.0,,F4B0DF54-36BD-475C-ABE7-C180E1899DAD,Unknown,,,,,Blvd,Hawthorne Blvd,2024-05-12 21:11:39+00:00,29900 Hawthorne Blvd Palos Verdes Peninsula 90274,F4B0DF54-36BD-475C-ABE7-C180E1899DAD_29900_Hawthorne_Blvd_Palos_Verdes_Peninsula_90274,Hawthorne,29900 Hawthorne Boulevard Blvd Rolling Hills Estates 90274,,,POINT (6442671.282188 1735648.665134),Complete_But_Phantom_addresses_representative_[validatedResult]_6552rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,25401.0,,,,,,Eagle,Lane,,,,,,,,,,,,,91381,,Unincorporated,Stevenson Ranch,Valencia,,,,Office of Assessor,{5D4DA74B-7024-4C1B-ADFB-8DB06225A33D},0.0,,5D4DA74B-7024-4C1B-ADFB-8DB06225A33D,Unknown,,,,,Ln,Eagle Ln,2024-05-12 21:11:39+00:00,25401 Eagle Ln Stevenson Ranch 91381,5D4DA74B-7024-4C1B-ADFB-8DB06225A33D_25401_Eagle_Ln_Stevenson_Ranch_91381,Eagle,25401 Eagle Lane Ln Stevenson Ranch 91381,,,POINT (6386211.473192 1973220.35272),Complete_But_Phantom_addresses_representative_[validatedResult]_6552rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,25350.0,,,,,,Playa Serena,Drive,,,,,,,,,,,,,91381,,Unincorporated,Stevenson Ranch,Valencia,,,,Office of Assessor,{C684FA16-D804-4CBE-BC5D-1E2C9149619D},0.0,,C684FA16-D804-4CBE-BC5D-1E2C9149619D,Unknown,,,,,Dr,Playa Serena Dr,2024-05-12 21:11:39+00:00,25350 Playa Serena Dr Stevenson Ranch 91381,C684FA16-D804-4CBE-BC5D-1E2C9149619D_25350_Playa_Serena_Dr_Stevenson_Ranch_91381,Playa Serena,25350 Playa Serena Drive Dr Stevenson Ranch 91381,,,POINT (6386123.3172 1974318.918436),Complete_But_Phantom_addresses_representative_[validatedResult]_6552rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,10.0,,,,Via,,Majorca,,,,,,,,,,,,,,90274,,Rolling Hills Estates,Palos Verdes Peninsula,Palos Verdes Estates,,,,Office of Assessor,{31462A39-0264-4F04-B888-FF740250579B},0.0,,31462A39-0264-4F04-B888-FF740250579B,Unknown,,,,Via,,Via Majorca,2024-05-12 21:11:39+00:00,10 Via Majorca Palos Verdes Peninsula 90274,31462A39-0264-4F04-B888-FF740250579B_10_Via_Majorca_Palos_Verdes_Peninsula_90274,Via Majorca,10 Via Majorca Rolling Hills Estates 90274,,,POINT (6445108.225477 1740487.737805),Complete_But_Phantom_addresses_representative_[validatedResult]_6552rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,1.0,,,,Via,,Sevilla,,,,,,,,,,,,,,90274,,Rolling Hills Estates,Palos Verdes Peninsula,Palos Verdes Estates,,,,Office of Assessor,{9F243773-7158-432F-BF9D-B4E33DBA6312},0.0,,9F243773-7158-432F-BF9D-B4E33DBA6312,Unknown,,,,Via,,Via Sevilla,2024-05-12 21:11:39+00:00,1 Via Sevilla Palos Verdes Peninsula 90274,9F243773-7158-432F-BF9D-B4E33DBA6312_1_Via_Sevilla_Palos_Verdes_Peninsula_90274,Via Sevilla,1 Via Sevilla Rolling Hills Estates 90274,,,POINT (6445181.721393 1740558.836088),Complete_But_Phantom_addresses_representative_[validatedResult]_6552rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,1.0,,,,,,Pepper Tree,Lane,,,,,,,,,,,,,90274,,Rolling Hills Estates,Palos Verdes Peninsula,Palos Verdes Estates,,,,Office of Assessor,{2F772D6A-E39D-408F-B5B0-B1750FAD9A42},0.0,,2F772D6A-E39D-408F-B5B0-B1750FAD9A42,Unknown,,,,,Ln,Pepper Tree Ln,2024-05-12 21:11:39+00:00,1 Pepper Tree Ln Palos Verdes Peninsula 90274,2F772D6A-E39D-408F-B5B0-B1750FAD9A42_1_Pepper_Tree_Ln_Palos_Verdes_Peninsula_90274,Pepper Tree,1 Pepper Tree Lane Ln Rolling Hills Estates 90274,,,POINT (6442314.366891 1735864.481304),Complete_But_Phantom_addresses_representative_[validatedResult]_6552rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,25333.0,,,,,Los,Arquerros,Drive,,,,,,,,,,,,,91381,,Unincorporated,Stevenson Ranch,Valencia,,,,Office of Assessor,{2E4734F0-5691-4C8C-A6BA-4711449FDBF5},0.0,,2E4734F0-5691-4C8C-A6BA-4711449FDBF5,Unknown,,,,,Dr,Los Arquerros Dr,2024-05-12 21:11:39+00:00,25333 Los Arquerros Dr Stevenson Ranch 91381,2E4734F0-5691-4C8C-A6BA-4711449FDBF5_25333_Los_Arquerros_Dr_Stevenson_Ranch_91381,Los Arquerros,25333 Los Arquerros Drive Dr Stevenson Ranch 91381,,,POINT (6386044.784877 1974388.360554),Complete_But_Phantom_addresses_representative_[validatedResult]_6552rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
,,,5033.0,,,East,Avenue,,L,,,,,,,,,,,,,,93536,,Unincorporated,Lancaster,Del Sur,,,,Office of Assessor,{BE40FC9A-3330-4E71-8B69-03679029B086},0.0,,BE40FC9A-3330-4E71-8B69-03679029B086,Unknown,,E,,Ave,,E Avenue L,2024-05-12 21:11:39+00:00,5033 E Avenue L Lancaster 93536,BE40FC9A-3330-4E71-8B69-03679029B086_5033_E_Avenue_L_Lancaster_93536,Avenue L,5033 E Avenue L Lancaster 93536,,,POINT (6495507.408143 2059688.781489),Complete_But_Phantom_addresses_representative_[validatedResult]_6552rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
