FullAddress,OBJIDstr,AIN,NumPrefix,Number,NumSuffix,PreMod,PreDir,PreType,StArticle,StreetName,PostType,PostDir,PostMod,BldgID,BldgSource,BldgTypePl,BldgType,BldgName,FlrTypePl,FlrType,FlrName,UnitType,UnitName,ZipCode,Zip4,LegalComm,PostComm1,PostComm2,PostComm3,OtherComm1,OtherComm2,Source,SourceID,MADRank,AROIDstr,OIDstr,PropType,ObjID,PreDirAbbr,PostDirAbbr,PreTypeAbbr,PostTypeAbbr,FullName,UpdateDate,FullAddress,UniqueID,StName_EnerGov,FullAddress_EnerGov,MSAG_City,ESN,geometry_wkt,_matched_from_input_file,_source_file
1515 A Prospect Ave San Gabriel 91776,,,,1515,A,,,,,Prospect,Avenue,,,,,,,,,,,,,91776,,San Gabriel,San Gabriel,,,,,Office of Assessor,{88C5E11A-84DF-4038-BA99-7F0658B5F51C},0,,88C5E11A-84DF-4038-BA99-7F0658B5F51C,Unknown,,,,,Ave,Prospect Ave,2024-05-12 21:05:27+00:00,1515 A Prospect Ave San Gabriel 91776,88C5E11A-84DF-4038-BA99-7F0658B5F51C_1515_A_Prospect_Ave_San_Gabriel_91776,Prospect,1515 A Prospect Avenue Ave San Gabriel 91776,,,POINT (6529607.863236 1852076.025127),Incomplete_addresses_no_fraction&others_[validationResults]_554rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
33 E Pasadena 91103,,,,33,,,,,,E,,,,,,,,,,,,,,91103,,Pasadena,Pasadena,,,,,Pasadena GIS,{64B6CE95-045B-4DCA-AD01-00FC263042FE},0,,64B6CE95-045B-4DCA-AD01-00FC263042FE,Unknown,,,,,,E,2024-05-12 21:05:27+00:00,33 E Pasadena 91103,64B6CE95-045B-4DCA-AD01-00FC263042FE_33_E_Pasadena_91103,E,33 E Pasadena 91103,,,POINT (6516291.34 1885308.085959),Incomplete_addresses_no_fraction&others_[validationResults]_554rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
1050 Long Beach 90807,,,,1050,,,,,,,,,,,,,,,,,,,,90807,,Long Beach,Long Beach,,,,,Long Beach GIS,{3727E64C-AA08-4ECE-B3D8-374A0C4C38A0},0,,3727E64C-AA08-4ECE-B3D8-374A0C4C38A0,Unknown,,,,,,,2024-05-12 21:05:27+00:00,1050 Long Beach 90807,3727E64C-AA08-4ECE-B3D8-374A0C4C38A0_1050_Long_Beach_90807,,1050 Long Beach 90807,,,POINT (6504624.230132 1757125.176643),Incomplete_addresses_no_fraction&others_[validationResults]_554rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
La Habra 90631,, ,,0,,,,,, ,,,,,,,,,,,,,,90631,,La Habra,La Habra,La Habra Heights,,,,La Habra,{E3765E64-28C5-4F0D-99A0-6EE0A5E42D00},0,,E3765E64-28C5-4F0D-99A0-6EE0A5E42D00,Unknown,,,,,, ,2024-11-09 05:35:18+00:00,La Habra 90631,E3765E64-28C5-4F0D-99A0-6EE0A5E42D00____La_Habra_90631,,La Habra 90631,,,POINT (6579873.064214 1792433.491853),Incomplete_addresses_no_fraction&others_[validationResults]_554rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
E Lambert Rd Fullerton 92835,, ,,0,,,East,,,Lambert,Road,,,,,,,,,,,,,92835,,La Habra,Fullerton,,,,,La Habra,{112C74F2-197B-4344-A5B8-912B9FA7756A},0,,112C74F2-197B-4344-A5B8-912B9FA7756A,Unknown,,E,,,Rd,E Lambert Rd,2024-11-09 05:35:18+00:00,E Lambert Rd Fullerton 92835,112C74F2-197B-4344-A5B8-912B9FA7756A__E_Lambert_Rd_Fullerton_92835,Lambert,E Lambert Road Rd La Habra 92835,,,POINT (6584285.427765 1794957.481228),Incomplete_addresses_no_fraction&others_[validationResults]_554rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
S Harbor Blvd La Habra 90631,, ,,0,,,South,,,Harbor,Boulevard,,,,,,,,,,,,,90631,,La Habra,La Habra,La Habra Heights,,,,La Habra,{78B3C690-F590-4443-ACB6-57F487DF2637},0,,78B3C690-F590-4443-ACB6-57F487DF2637,Unknown,,S,,,Blvd,S Harbor Blvd,2024-11-09 05:35:18+00:00,S Harbor Blvd La Habra 90631,78B3C690-F590-4443-ACB6-57F487DF2637__S_Harbor_Blvd_La_Habra_90631,Harbor,S Harbor Boulevard Blvd La Habra 90631,,,POINT (6581974.86152 1795997.199621),Incomplete_addresses_no_fraction&others_[validationResults]_554rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
S Cypress St La Habra 90631,, ,,0,,,South,,,Cypress,Street,,,,,,,,,,,,,90631,,La Habra,La Habra,La Habra Heights,,,,La Habra,{D2B9D061-ED01-4E81-8403-B0E5F1B33350},0,,D2B9D061-ED01-4E81-8403-B0E5F1B33350,Unknown,,S,,,St,S Cypress St,2024-11-09 05:35:18+00:00,S Cypress St La Habra 90631,D2B9D061-ED01-4E81-8403-B0E5F1B33350__S_Cypress_St_La_Habra_90631,Cypress,S Cypress Street St La Habra 90631,,,POINT (6579335.471786 1796266.431694),Incomplete_addresses_no_fraction&others_[validationResults]_554rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
S Euclid St La Habra 90631,, ,,0,,,South,,,Euclid,Street,,,,,,,,,,,,,90631,,La Habra,La Habra,La Habra Heights,,,,La Habra,{75D535E8-E28D-43FC-ABEA-1BF056829C8A},0,,75D535E8-E28D-43FC-ABEA-1BF056829C8A,Unknown,,S,,,St,S Euclid St,2024-11-09 05:35:18+00:00,S Euclid St La Habra 90631,75D535E8-E28D-43FC-ABEA-1BF056829C8A__S_Euclid_St_La_Habra_90631,Euclid,S Euclid Street St La Habra 90631,,,POINT (6578014.285123 1796263.14758),Incomplete_addresses_no_fraction&others_[validationResults]_554rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
S Walnut St La Habra 90631,, ,,0,,,South,,,Walnut,Street,,,,,,,,,,,,,90631,,La Habra,La Habra,La Habra Heights,,,,La Habra,{2CD6A142-9F80-4428-8E46-43FAB44502EB},0,,2CD6A142-9F80-4428-8E46-43FAB44502EB,Unknown,,S,,,St,S Walnut St,2024-11-09 05:35:18+00:00,S Walnut St La Habra 90631,2CD6A142-9F80-4428-8E46-43FAB44502EB__S_Walnut_St_La_Habra_90631,Walnut,S Walnut Street St La Habra 90631,,,POINT (6576694.271687 1796260.285053),Incomplete_addresses_no_fraction&others_[validationResults]_554rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
S Monte Vista St La Habra 90631,, ,,0,,,South,,,Monte Vista,Street,,,,,,,,,,,,,90631,,La Habra,La Habra,La Habra Heights,,,,La Habra,{65911193-C5A5-4505-8B59-F1DA52BA7E37},0,,65911193-C5A5-4505-8B59-F1DA52BA7E37,Unknown,,S,,,St,S Monte Vista St,2024-11-09 05:35:18+00:00,S Monte Vista St La Habra 90631,65911193-C5A5-4505-8B59-F1DA52BA7E37__S_Monte_Vista_St_La_Habra_90631,Monte Vista,S Monte Vista Street St La Habra 90631,,,POINT (6575372.224135 1796257.842472),Incomplete_addresses_no_fraction&others_[validationResults]_554rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
S Idaho St La Habra 90631,, ,,0,,,South,,,Idaho,Street,,,,,,,,,,,,,90631,,La Habra,La Habra,La Habra Heights,,,,La Habra,{ECE85609-A757-46B4-A508-2CD5837D9258},0,,ECE85609-A757-46B4-A508-2CD5837D9258,Unknown,,S,,,St,S Idaho St,2024-11-09 05:35:18+00:00,S Idaho St La Habra 90631,ECE85609-A757-46B4-A508-2CD5837D9258__S_Idaho_St_La_Habra_90631,Idaho,S Idaho Street St La Habra 90631,,,POINT (6574050.57061 1796255.821151),Incomplete_addresses_no_fraction&others_[validationResults]_554rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
S Beach Blvd La Habra 90631,, ,,0,,,South,,,Beach,Boulevard,,,,,,,,,,,,,90631,,La Habra,La Habra,La Habra Heights,,,,La Habra,{8EF4590E-6566-4307-ACE8-F0DFD8D1E23D},0,,8EF4590E-6566-4307-ACE8-F0DFD8D1E23D,Unknown,,S,,,Blvd,S Beach Blvd,2024-11-09 05:35:18+00:00,S Beach Blvd La Habra 90631,8EF4590E-6566-4307-ACE8-F0DFD8D1E23D__S_Beach_Blvd_La_Habra_90631,Beach,S Beach Boulevard Blvd La Habra 90631,,,POINT (6571429.321915 1796253.361838),Incomplete_addresses_no_fraction&others_[validationResults]_554rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
E Imperial Hwy La Habra 90631,, ,,0,,,East,,,Imperial,Highway,,,,,,,,,,,,,90631,,La Habra,La Habra,La Habra Heights,,,,La Habra,{2C8EEF3D-8319-4575-8C2B-FA81544EE889},0,,2C8EEF3D-8319-4575-8C2B-FA81544EE889,Unknown,,E,,,Hwy,E Imperial Hwy,2024-11-09 05:35:18+00:00,E Imperial Hwy La Habra 90631,2C8EEF3D-8319-4575-8C2B-FA81544EE889__E_Imperial_Hwy_La_Habra_90631,Imperial,E Imperial Highway Hwy La Habra 90631,,,POINT (6580950.663437 1792309.324451),Incomplete_addresses_no_fraction&others_[validationResults]_554rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
S Palm St Fullerton 92835,, ,,0,,,South,,,Palm,Street,,,,,,,,,,,,,92835,,La Habra,Fullerton,,,,,La Habra,{1B9C71F4-CC9F-43C5-8E84-AC6B8F656CFC},0,,1B9C71F4-CC9F-43C5-8E84-AC6B8F656CFC,Unknown,,S,,,St,S Palm St,2024-11-09 05:35:18+00:00,S Palm St Fullerton 92835,1B9C71F4-CC9F-43C5-8E84-AC6B8F656CFC__S_Palm_St_Fullerton_92835,Palm,S Palm Street St La Habra 92835,,,POINT (6584615.26536 1794806.179037),Incomplete_addresses_no_fraction&others_[validationResults]_554rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
W Imperial Hwy La Habra 90631,, ,,0,,,West,,,Imperial,Highway,,,,,,,,,,,,,90631,,La Habra,La Habra,La Habra Heights,,,,La Habra,{B8C9DB2E-5000-4171-BDBE-B58462D42346},0,,B8C9DB2E-5000-4171-BDBE-B58462D42346,Unknown,,W,,,Hwy,W Imperial Hwy,2024-11-09 05:35:18+00:00,W Imperial Hwy La Habra 90631,B8C9DB2E-5000-4171-BDBE-B58462D42346__W_Imperial_Hwy_La_Habra_90631,Imperial,W Imperial Highway Hwy La Habra 90631,,,POINT (6570371.805986 1792265.383594),Incomplete_addresses_no_fraction&others_[validationResults]_554rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
E LAMBERT RD La Habra 90631,,1911179,,0,,,East,,,LAMBERT,Road,,,,,,,,,,,,,90631,,La Habra,La Habra,La Habra Heights,,,,La Habra,{F5A2C9B0-1261-49DD-996B-0D29E4BD2794},0,,F5A2C9B0-1261-49DD-996B-0D29E4BD2794,Unknown,,S,,,RD,E LAMBERT RD,2024-11-09 05:35:18+00:00,E LAMBERT RD La Habra 90631,F5A2C9B0-1261-49DD-996B-0D29E4BD2794__E_LAMBERT_RD_La_Habra_90631,LAMBERT,S LAMBERT Road RD La Habra 90631,,,POINT (6580837.780133 1794719.838002),Incomplete_addresses_no_fraction&others_[validationResults]_554rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
8516 Canoga Park 91304,,2004026028,,8516,,,,,,,,,,,,,,,,,,,,91304,,Los Angeles,Canoga Park,West Hills,,,,CAMS,{61E06D0E-A5DD-438A-BE39-53E7EB2C72AF},0,,61E06D0E-A5DD-438A-BE39-53E7EB2C72AF,Unknown,,,,,,,2021-01-22 17:13:36+00:00,8516 Canoga Park 91304,61E06D0E-A5DD-438A-BE39-53E7EB2C72AF_8516_Canoga_Park_91304,,8516 Los Angeles 91304,,,POINT (6373342.429048 1904817.754617),Incomplete_addresses_no_fraction&others_[validationResults]_554rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
2363  Agoura Hills 91301,,2058005012,,2363,,,,,,,,,,,,,,,,,,,,91301,,Unincorporated,Agoura Hills,Agoura,,,,LACO DPW Add,{96D56BF6-D102-444F-AF36-947592CC0CCD},0,,96D56BF6-D102-444F-AF36-947592CC0CCD,Unknown,,,,,,,2023-09-30 17:12:12+00:00,2363  Agoura Hills 91301,96D56BF6-D102-444F-AF36-947592CC0CCD_2363__Agoura_Hills_91301,,2363 Agoura Hills 91301,,,POINT (6323940.458955 1865190.320421),Incomplete_addresses_no_fraction&others_[validationResults]_554rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
14842 Main Co 1545 Sawtelle Blvd Van Nuys 91411,,2241017028,,14842,,,,,,Main Co 1545 Sawtelle,Boulevard,,,,,,,,,,,,,91411,,Los Angeles,Van Nuys,,,,,Assessor,{7A153AE6-6328-4DD5-A437-9CEBEA223C22},0,,7A153AE6-6328-4DD5-A437-9CEBEA223C22,Unknown,,,,,Blvd,Main Co 1545 Sawtelle Blvd,2024-04-27 17:13:09+00:00,14842 Main Co 1545 Sawtelle Blvd Van Nuys 91411,7A153AE6-6328-4DD5-A437-9CEBEA223C22_14842_Main_Co_1545_Sawtelle_Blvd_Van_Nuys_91411,Main Co 1545 Sawtelle,14842 Main Co 1545 Sawtelle Boulevard Blvd Los Angeles 91411,,,POINT (6423482.198191 1889057.050902),Incomplete_addresses_no_fraction&others_[validationResults]_554rows.csv,eGIS_Addressing_raw__2700971rows_51cols.csv
